,Titulos,URL,Precio en pesos,En USD (publicado),En USD BLUE,fecha
0,LA CASA NEVILLE . LA FORMIDABLE SEÃ‘ORITA  MANON,https://cuspide.com/producto/la-casa-neville-la-formidable-senorita-manon/,"$11.900,00","USD$32,56",blue_USD: $13.45,07-10-2023
1,ARTIFICIAL,https://cuspide.com/producto/artificial-2/,"$7.999,00","USD$21,89",blue_USD: $9.04,07-10-2023
2,HOLLY,https://cuspide.com/producto/holly/,"$15.999,00","USD$43,77",blue_USD: $18.08,07-10-2023
3,TESIS SOBRE UNA DOMESTICACION,https://cuspide.com/producto/tesis-sobre-una-domesticacion/,"$9.900,00","USD$27,09",blue_USD: $11.19,07-10-2023
4,EL VUELO DE LA LIBELULA,https://cuspide.com/producto/el-vuelo-de-la-libelula/,"$8.799,00","USD$24,07",blue_USD: $9.94,07-10-2023
5,BEYOND THE STORY ( EDICION EN ESPA/OL ),https://cuspide.com/producto/beyond-the-story-edicion-en-espa-ol/,"$9.999,00","USD$27,36",blue_USD: $11.3,07-10-2023
6,HOROSCOPO CHINO 2024,https://cuspide.com/producto/horoscopo-chino-2024/,"$7.999,00","USD$21,89",blue_USD: $9.04,07-10-2023
7,DESTROZA ESTE DIARIO ( A TODO COLOR ),https://cuspide.com/producto/destroza-este-diario-a-todo-color/,"$11.200,00","USD$30,64",blue_USD: $12.66,07-10-2023
8,73 MARGARITAS,https://cuspide.com/producto/73-margaritas/,"$6.999,00","USD$19,15",blue_USD: $7.91,07-10-2023
9,UNA FAMILIA ANORMAL,https://cuspide.com/producto/una-familia-anormal-5/,"$4.199,00","USD$11,49",blue_USD: $4.74,07-10-2023
10,EL PODER DE LAS PALABRAS,https://cuspide.com/producto/el-poder-de-las-palabras/,"$10.599,00","USD$29,00",blue_USD: $11.98,07-10-2023
11,UN VECINO ANORMAL  : Y EL LADRON DEL CHOCOLATE,https://cuspide.com/producto/un-vecino-anormal-y-el-ladron-del-chocolate/,"$5.199,00","USD$14,22",blue_USD: $5.87,07-10-2023
12,LAS INDIGNAS,https://cuspide.com/producto/las-indignas/,"$7.499,00","USD$20,52",blue_USD: $8.47,07-10-2023
13,LA ARMADURA DE LA LUZ,https://cuspide.com/producto/la-armadura-de-la-luz/,"$19.999,00","USD$54,72",blue_USD: $22.6,07-10-2023
14,DEJA DE SER TU,https://cuspide.com/producto/deja-de-ser-tu/,"$13.390,00","USD$36,63",blue_USD: $15.13,07-10-2023
15,TAYLOR : FROM THE VAULT,https://cuspide.com/producto/taylor-from-the-vault/,"$6.999,00","USD$19,15",blue_USD: $7.91,07-10-2023
16,ANTES DE QUE SE ENFRIE EL CAFE,https://cuspide.com/producto/antes-de-que-se-enfrie-el-cafe/,"$9.699,00","USD$26,54",blue_USD: $10.96,07-10-2023
17,EL PODER DEL AHORA,https://cuspide.com/producto/el-poder-del-ahora/,"$7.199,00","USD$19,70",blue_USD: $8.13,07-10-2023
18,NOSOTROS DOS EN LA TORMENTA,https://cuspide.com/producto/nosotros-dos-en-la-tormenta/,"$11.599,00","USD$31,73",blue_USD: $13.11,07-10-2023
19,LOS CUATRO ACUERDOS,https://cuspide.com/producto/los-cuatro-acuerdos/,"$8.490,00","USD$23,23",blue_USD: $9.59,07-10-2023
20,"MUCHAS VIDAS , MUCHOS MAESTROS",https://cuspide.com/producto/muchas-vidas-muchos-maestros-2/,"$7.199,00","USD$19,70",blue_USD: $8.13,07-10-2023
21,LAS NI/AS DEL NARANJEL,https://cuspide.com/producto/las-ni-as-del-naranjel/,"$9.999,00","USD$27,36",blue_USD: $11.3,07-10-2023
22,MAFALDA : TODAS LAS TIRAS,https://cuspide.com/producto/mafalda-todas-las-tiras/,"$14.100,00","USD$38,58",blue_USD: $15.93,07-10-2023
23,PORQUE DEMASIADO NO ES SUFICIENTE,https://cuspide.com/producto/porque-demasiado-no-es-suficiente/,"$8.900,00","USD$24,35",blue_USD: $10.06,07-10-2023
24,SANA A TUS ANTEPASADOS PARA SANAR TU VIDA,https://cuspide.com/producto/sana-a-tus-antepasados-para-sanar-tu-vida/,"$6.490,00","USD$17,76",blue_USD: $7.33,07-10-2023
25,ELON MUSK,https://cuspide.com/producto/elon-musk/,"$14.999,00","USD$41,04",blue_USD: $16.95,07-10-2023
26,LA PACIENTE SILENCIOSA,https://cuspide.com/producto/la-paciente-silenciosa/,"$9.999,00","USD$27,36",blue_USD: $11.3,07-10-2023
27,BORN Y QUIETO,https://cuspide.com/producto/born-y-quieto/,"$11.800,00","USD$32,28",blue_USD: $13.33,07-10-2023
28,EL DUELO ( CUANDO EL DOLOR SE HACE CARNE ),https://cuspide.com/producto/el-duelo-cuando-el-dolor-se-hace-carne/,"$7.500,00","USD$20,52",blue_USD: $8.47,07-10-2023
29,DIBU MARTINEZ : PASION POR EL FUTBOL,https://cuspide.com/producto/dibu-martinez-pasion-por-el-futbol/,"$5.399,00","USD$14,77",blue_USD: $6.1,07-10-2023
30,LA FELICIDAD CABE EN UNA TAZA DE CAFE,https://cuspide.com/producto/la-felicidad-cabe-en-una-taza-de-cafe/,"$5.999,00","USD$16,41",blue_USD: $6.78,07-10-2023
31,"MESSI , CAMPEON DEL MUNDO",https://cuspide.com/producto/messi-campeon-del-mundo/,"$5.990,00","USD$16,39",blue_USD: $6.77,07-10-2023
32,EL NI/O RESENTIDO,https://cuspide.com/producto/el-ni-o-resentido/,"$4.999,00","USD$13,68",blue_USD: $5.65,07-10-2023
33,LA SCALONETA,https://cuspide.com/producto/la-scaloneta/,"$6.490,00","USD$17,76",blue_USD: $7.33,07-10-2023
34,LA CASA DE LOS SUICIDIOS,https://cuspide.com/producto/la-casa-de-los-suicidios/,"$10.500,00","USD$28,73",blue_USD: $11.86,07-10-2023
35,ADIOS CACHORRA,https://cuspide.com/producto/adios-cachorra/,"$9.000,00","USD$24,62",blue_USD: $10.17,07-10-2023
36,MIS DIAS EN LA LIBRERIA MORISAKI,https://cuspide.com/producto/mis-dias-en-la-libreria-morisaki/,"$5.850,00","USD$16,01",blue_USD: $6.61,07-10-2023
37,EL DIABLO,https://cuspide.com/producto/el-diablo/,"$12.900,00","USD$35,29",blue_USD: $14.58,07-10-2023
38,EL ARTE DE AMAR,https://cuspide.com/producto/el-arte-de-amar-3/,"$4.500,00","USD$12,31",blue_USD: $5.08,07-10-2023
39,EL KIRCHNERISMO DESARMADO,https://cuspide.com/producto/el-kirchnerismo-desarmado/,"$8.500,00","USD$23,26",blue_USD: $9.6,07-10-2023
40,PENSAR A LA JAPONESA,https://cuspide.com/producto/pensar-a-la-japonesa/,"$5.490,00","USD$15,02",blue_USD: $6.2,07-10-2023
41,LOS ARBOLES CAIDOS TAMBIEN SON DEL BOSQUE.,https://cuspide.com/producto/los-arboles-caidos-tambien-son-del-bosque/,"$5.700,00","USD$15,60",blue_USD: $6.44,07-10-2023
42,LA REVOLUCION DE LA GLUCOSA,https://cuspide.com/producto/la-revolucion-de-la-glucosa/,"$15.300,00","USD$41,86",blue_USD: $17.29,07-10-2023
43,LA BIBLIOTECA DE LOS NUEVOS COMIENZOS,https://cuspide.com/producto/la-biblioteca-de-los-nuevos-comienzos/,"$7.900,00","USD$21,61",blue_USD: $8.93,07-10-2023
44,LAS GARRAS DEL AGUILA,https://cuspide.com/producto/las-garras-del-aguila/,"$11.900,00","USD$32,56",blue_USD: $13.45,07-10-2023
45,EL CAMINO DEL ARTISTA,https://cuspide.com/producto/el-camino-del-artista/,"$13.499,00","USD$36,93",blue_USD: $15.25,07-10-2023
46,DESARMA ESTE LIBRO,https://cuspide.com/producto/desarma-este-libro/,"$3.299,00","USD$9,03",blue_USD: $3.73,07-10-2023
47,QUIZ BOOK - FUTBOL MUNDIAL,https://cuspide.com/producto/quiz-book-futbol-mundial/,"$3.749,00","USD$10,26",blue_USD: $4.24,07-10-2023
48,COMO SE LLAMA ESTA CANCION DE AMOR ?,https://cuspide.com/producto/como-se-llama-esta-cancion-de-amor/,"$5.999,00","USD$16,41",blue_USD: $6.78,07-10-2023
49,EL SECRETO DE PARIS,https://cuspide.com/producto/el-secreto-de-paris/,"$10.500,00","USD$28,73",blue_USD: $11.86,07-10-2023
50,COMEMOS LO QUE SOMOS,https://cuspide.com/producto/comemos-lo-que-somos/,"$10.900,00","USD$29,82",blue_USD: $12.32,07-10-2023
51,LA PACIENCIA DEL AGUA SOBRE CADA PIEDRA,https://cuspide.com/producto/la-paciencia-del-agua-sobre-cada-piedra/,"$6.590,00","USD$18,03",blue_USD: $7.45,07-10-2023
52,GATURRO MESSI,https://cuspide.com/producto/gaturro-messi/,"$4.290,00","USD$11,74",blue_USD: $4.85,07-10-2023
53,AHORA ALFONSIN,https://cuspide.com/producto/ahora-alfonsin/,"$11.900,00","USD$32,56",blue_USD: $13.45,07-10-2023
54,IKIGAI  VINTAGE,https://cuspide.com/producto/ikigai-vintage/,"$7.250,00","USD$19,84",blue_USD: $8.19,07-10-2023
55,LOS SIETE MARIDOS DE EVELYN HUGO,https://cuspide.com/producto/los-siete-maridos-de-evelyn-hugo/,"$10.750,00","USD$29,41",blue_USD: $12.15,07-10-2023
56,MEDITACIONES,https://cuspide.com/producto/meditaciones-2/,"$8.570,00","USD$23,45",blue_USD: $9.68,07-10-2023
57,EL LOCO,https://cuspide.com/producto/el-loco/,"$8.600,00","USD$23,53",blue_USD: $9.72,07-10-2023
58,LA BAILARINA DE AUSCHWITZ,https://cuspide.com/producto/la-bailarina-de-auschwitz-2/,"$6.900,00","USD$18,88",blue_USD: $7.8,07-10-2023
59,MEJOR QUE EN LAS PELICULAS,https://cuspide.com/producto/mejor-que-en-las-peliculas/,"$6.590,00","USD$18,03",blue_USD: $7.45,07-10-2023
60,EL MONJE QUE VENDIO SU FERRARI,https://cuspide.com/producto/el-monje-que-vendio-su-ferrari/,"$7.199,00","USD$19,70",blue_USD: $8.13,07-10-2023
61,NO TE OLVIDARE ( REMINDERS OF HIM ),https://cuspide.com/producto/no-te-olvidare-reminders-of-him/,"$10.500,00","USD$28,73",blue_USD: $11.86,07-10-2023
62,CORALINE,https://cuspide.com/producto/coraline/,"$6.199,00","USD$16,96",blue_USD: $7.0,07-10-2023
63,COMETIERRA 10 EDIC,https://cuspide.com/producto/cometierra-10-edic/,"$7.300,00","USD$19,97",blue_USD: $8.25,07-10-2023
64,PAIS DE MIERDA,https://cuspide.com/producto/pais-de-mierda/,"$8.900,00","USD$24,35",blue_USD: $10.06,07-10-2023
65,LAS MUJERES QUE AMAN DEMASIADO,https://cuspide.com/producto/las-mujeres-que-aman-demasiado/,"$6.599,00","USD$18,05",blue_USD: $7.46,07-10-2023
66,GATURRO CAMPEONES !!,https://cuspide.com/producto/gaturro-campeones/,"$4.290,00","USD$11,74",blue_USD: $4.85,07-10-2023
67,MI DIARIO SECRETO : ROSA,https://cuspide.com/producto/mi-diario-secreto-rosa/,"$6.749,00","USD$18,47",blue_USD: $7.63,07-10-2023
68,TWISTED 2 . TWISTED GAMES,https://cuspide.com/producto/twisted-2-twisted-games/,"$9.900,00","USD$27,09",blue_USD: $11.19,07-10-2023
69,CADAVER EXQUISITO,https://cuspide.com/producto/cadaver-exquisito-2/,"$10.499,00","USD$28,73",blue_USD: $11.86,07-10-2023
70,COMO SER UN ESTOICO,https://cuspide.com/producto/como-ser-un-estoico/,"$8.600,00","USD$23,53",blue_USD: $9.72,07-10-2023
71,LAS AVENTURAS DE LYNA Y DANI : ELIGE TU HISTORIA,https://cuspide.com/producto/las-aventuras-de-lyna-y-dani-elige-tu-historia/,"$3.999,00","USD$10,94",blue_USD: $4.52,07-10-2023
72,TUS ZONAS ERRONEAS,https://cuspide.com/producto/tus-zonas-erroneas/,"$7.199,00","USD$19,70",blue_USD: $8.13,07-10-2023
